"","x"
"727","RETREG2"
"728","RGL1"
"729","RGS16"
"730","RHEB"
"731","RHOQ"
"732","RIMKLA"
"733","RMND5A"
"734","RNF13"
"735","RNF130"
"736","RNF157"
"737","RNF187"
"738","RNF187"
"739","RNF19B"
"740","RNF2"
"741","RNF6"
"742","RNMT"
"743","ROBO1"
"744","ROBO2"
"745","ROCK1"
"746","ROR1"
"747","RORA"
"748","RPA2"
"749","RPH3AL"
"750","RPH3AL"
"751","RPH3AL"
"752","RPL17"
"753","RPL3"
"754","RPL31"
"755","RPL36AL"
"756","RPL37"
"757","RPL4"
"758","RPL5"
"759","RPL7A"
"760","RPL7A"
"761","RPS23"
"762","RPS3"
"763","RPS4X"
"764","RRAGA"
"765","RRAGC"
"766","RRAGD"
"767","RRM2B"
"768","RRN3"
"769","RRN3"
"770","RTCB"
"771","RTN4"
"772","RUFY3"
"773","RUNX1T1"
"774","SAMD3"
"775","SARS1"
"776","SBDS"
"777","SBNO1"
"778","SC5D"
"779","SCAPER"
"780","SCD"
"781","SCD5"
"782","SCG3"
"783","SCGN"
"784","SCN1B"
"785","SEC11C"
"786","SEC63"
"787","SELENOW"
"788","SEMA5A"
"789","SEMA6D"
"790","SERINC1"
"791","SERPINB4"
"792","SESN1"
"793","SETBP1"
"794","SETD3"
"795","SETD7"
"796","SGMS2"
"797","SH3GL2"
"798","SHISAL1"
"799","SHISAL2B"
"800","SHOC2"
"801","SHTN1"
"802","SIPA1L2"
"803","SIX2"
"804","SIX3"
"805","SLAIN2"
"806","SLC11A2"
"807","SLC16A9"
"808","SLC18A2"
"809","SLC1A4"
"810","SLC25A34"
"811","SLC25A36"
"812","SLC25A4"
"813","SLC29A1"
"814","SLC2A1"
"815","SLC2A13"
"816","SLC2A2"
"817","SLC30A8"
"818","SLC39A14"
"819","SLC4A10"
"820","SLC4A7"
"821","SLC6A17"
"822","SLC6A6"
"823","SLC7A1"
"824","SLK"
"825","SMAD7"
"826","SMAD9"
"827","SMIM29"
"828","SNAP91"
"829","SNHG32"
"830","SNHG32"
"831","SNHG32"
"832","SNHG32"
"833","SNHG32"
"834","SNHG7"
"835","SNX29"
"836","SNX9"
"837","SOBP"
"838","SOCS2"
"839","SOCS7"
"840","SOCS7"
"841","SORL1"
"842","SPECC1L"
"843","SPEG"
"844","SPIN1"
"845","SPIRE1"
"846","SPOPL"
"847","SPRYD3"
"848","SQSTM1"
"849","SQSTM1"
"850","SRD5A1"
"851","SREBF1"
"852","SRPRA"
"853","SRXN1"
"854","SSTR5-AS1"
"855","ST13"
"856","ST18"
"857","ST3GAL5"
"858","ST8SIA3"
"859","STAG2"
"860","STMN2"
"861","STMN3"
"862","STX1A"
"863","STX3"
"864","STXBP1"
"865","STXBP5"
"866","SUCO"
"867","SUMO3"
"868","SURF2"
"869","SURF2"
"870","SURF4"
"871","SURF4"
"872","SUSD4"
"873","SUSD6"
"874","SV2A"
"875","SVIP"
"876","SYBU"
"877","SYNE2"
"878","SYNM"
"879","SYT11"
"880","SYT13"
"881","SYT4"
"882","SYT7"
"883","TAB2"
"884","TAF9"
"885","TAF9"
"886","TAGLN3"
"887","TANC2"
"888","TAOK1"
"889","TBC1D24"
"890","TBC1D4"
"891","TBC1D9B"
"892","TBC1D9B"
"893","TBCC"
"894","TBL1XR1"
"895","TCAF1"
"896","TCAF2"
"897","TCEA1"
"898","TERF2"
"899","TERF2IP"
"900","TFCP2L1"
"901","TGFBR3"
"902","TGOLN2"
"903","THAP5"
"904","THAP6"
"905","THBD"
"906","TIAM1"
"907","TIMP2"
"908","TLE5"
"909","TMCC3"
"910","TMED6"
"911","TMEM109"
"912","TMEM126B"
"913","TMEM132B"
"914","TMEM150C"
"915","TMEM167A"
"916","TMEM181"
"917","TMEM33"
"918","TMEM37"
"919","TMEM38B"
"920","TMEM64"
"921","TMEM65"
"922","TMOD1"
"923","TMOD2"
"924","TNFRSF11A"
"925","TNKS2"
"926","TNS1"
"927","TOGARAM1"
"928","TOMM20"
"929","TOMM34"
"930","TOMM70"
"931","TOR1AIP1"
"932","TPD52"
"933","TPM3"
"934","TPP1"
"935","TPRG1L"
"936","TRAPPC8"
"937","TRIB3"
"938","TRIM2"
"939","TRIM23"
"940","TRIM37"
"941","TRIM9"
"942","TRIP11"
"943","TRIQK"
"944","TRMT112"
"945","TSHZ1"
"946","TSHZ3"
"947","TSPAN1"
"948","TSPAN13"
"949","TSPAN7"
"950","TSPYL1"
"951","TSPYL2"
"952","TSPYL5"
"953","TTC3"
"954","TTC37"
"955","TTC3P1"
"956","TTC7B"
"957","TTLL7"
"958","TUBA4A"
"959","TUBB2B"
"960","TUNAR"
"961","TXNL1"
"962","TXNRD1"
"963","U2SURP"
"964","UBC"
"965","UBE2QL1"
"966","UBE3C"
"967","UBL3"
"968","UBN1"
"969","UBQLN1"
"970","UBQLN2"
"971","UBXN1"
"972","UBXN4"
"973","UCHL1"
"974","UCHL5"
"975","UHMK1"
"976","UNC79"
"977","UNC79"
"978","UNC80"
"979","USF3"
"980","USP1"
"981","USP12"
"982","USP34"
"983","USP48"
"984","USP51"
"985","USP9X"
"986","UTRN"
"987","VAMP2"
"988","VAPB"
"989","VAT1L"
"990","VEGFA"
"991","VEGFB"
"992","VLDLR"
"993","VOPP1"
"994","VPS13C"
"995","VPS35"
"996","VPS37A"
"997","VWDE"
"998","WAC"
"999","WARS1"
"1000","WDR17"
"1001","WDR33"
"1002","WDR7"
"1003","WFS1"
"1004","WHAMM"
"1005","WLS"
"1006","WNT4"
"1007","WSB2"
"1008","WSCD2"
"1009","XPC"
"1010","XPOT"
"1011","YME1L1"
"1012","YWHAG"
"1013","ZBTB33"
"1014","ZBTB33"
"1015","ZBTB38"
"1016","ZBTB4"
"1017","ZBTB4"
"1018","ZC3H6"
"1019","ZCCHC14"
"1020","ZCRB1"
"1021","ZHX3"
"1022","ZMAT3"
"1023","ZMIZ1"
"1024","ZMYND11"
"1025","ZNF106"
"1026","ZNF204P"
"1027","ZNF277"
"1028","ZNF292"
"1029","ZNF318"
"1030","ZNF331"
"1031","ZNF395"
"1032","ZNF483"
"1033","ZNF652"
"1034","ZNF667-AS1"
"1035","ZNF746"
"1036","ZNF770"
"1037","ZNF91"
"1038","ZZZ3"
