"","x"
"595","RIOK3"
"596","RIPK4"
"597","RNF128"
"598","SCNN1A"
"599","SECTM1"
"600","SLPI"
"601","SMIM22"
"602","SNX9"
"603","SPATS2L"
"604","SPINT1"
"605","SPIRE2"
"606","STK24"
"607","SYNJ2"
"608","TNFRSF21"
"609","TSKU"
"610","UNC5B"
"611","UNC5B-AS1"
"612","VEGFA"
"613","A4GNT"
"614","AQP5"
"615","C16orf89"
"616","C6orf58"
"617","CD24"
"618","CLU"
"619","COL11A2"
"620","DYNC2H1"
"621","EGR1"
"622","ERGIC1"
"623","ERN2"
"624","ETV5"
"625","FUT9"
"626","GOLM1"
"627","GP2"
"628","KCNN4"
"629","LYZ"
"630","MMP1"
"631","MSMB"
"632","MUC6"
"633","NOP53"
"634","NR4A1"
"635","PIGR"
"636","PIK3C2G"
"637","PPP1R1B"
"638","RGMB"
"639","SLC4A4"
"640","ACADM"
"641","ACADVL"
"642","ACAT1"
"643","AHCYL2"
"644","AIFM1"
"645","AK3"
"646","AKR7A3"
"647","AKR7L"
"648","ALAD"
"649","ALDH1A1"
"650","ALDOB"
"651","AQP4"
"652","ARRDC4"
"653","ATP1B1"
"654","ATP4A"
"655","ATP4B"
"656","ATP5F1A"
"657","ATP5F1B"
"658","ATP5F1C"
"659","ATP5F1D"
"660","ATP5MC1"
"661","ATP5MC3"
"662","ATP5MF"
"663","ATP5MG"
"664","ATP5MJ"
"665","ATP5MK"
"666","ATP5PB"
"667","ATP5PD"
"668","ATP5PF"
"669","ATP5PO"
"670","ATP6V1H"
"671","AUH"
"672","BCKDHB"
"673","BOLA3"
"674","C1orf116"
"675","CALM1"
"676","CBLIF"
"677","CCKBR"
"678","CHCHD10"
"679","CHP1"
"680","CHPT1"
"681","CKB"
"682","CKMT2"
"683","CLIC6"
"684","CMTM4"
"685","CNTD1"
"686","COA3"
"687","COX17"
"688","COX4I1"
"689","COX5A"
"690","COX5B"
"691","COX6A1"
"692","COX6C"
"693","COX7A2"
"694","COX7A2L"
"695","COX7B"
"696","COX7C"
"697","CPA2"
"698","CPEB4"
"699","CS"
"700","CYCS"
"701","CYFIP2"
"702","DBT"
"703","DECR1"
"704","DLD"
"705","DNER"
"706","DRD5"
"707","DUSP19"
"708","DUSP4"
"709","ECHS1"
"710","ECI2"
"711","EIF5A2"
"712","ESRRG"
"713","ETFRF1"
"714","ETNPPL"
"715","FAM107B"
"716","FAM162A"
"717","FGA"
"718","FGB"
"719","FGD4"
"720","FGG"
"721","FH"
"722","FILIP1L"
"723","FNDC5"
"724","G0S2"
"725","GABARAPL1"
"726","GBGT1"
"727","GHITM"
"728","GLOD4"
"729","GMPR"
"730","GOT1"
"731","GOT2"
"732","GPC3"
"733","GPR155"
"734","GPT2"
"735","GRIA4"
"736","GSTA1"
"737","GUCA2B"
"738","HADHB"
"739","HOPX"
"740","HPCAL1"
"741","HSPA9"
"742","IDH2"
"743","IGFBP5"
"744","INSIG1"
"745","ISCU"
"746","KCNE2"
"747","KCNJ16"
"748","KCNQ1"
"749","KIAA1191"
"750","LDHB"
"751","LIFR"
"752","LINC00671"
"753","LRIG1"
"754","MDH1"
"755","MDH2"
"756","ME3"
"757","MFSD4A"
"758","MGAT4B"
"759","MICALL1"
"760","MICOS10"
"761","MPC1"
"762","MPC2"
"763","MPP7"
"764","MRPL34"
"765","MRPL41"
"766","MTURN"
"767","MYO19"
"768","NCKAP1"
"769","NDUFA1"
"770","NDUFA10"
"771","NDUFA4"
"772","NDUFA5"
"773","NDUFA6"
"774","NDUFA7"
"775","NDUFA8"
"776","NDUFA9"
"777","NDUFAB1"
"778","NDUFB10"
"779","NDUFB2"
"780","NDUFB3"
"781","NDUFB4"
"782","NDUFB5"
"783","NDUFB7"
"784","NDUFB8"
"785","NDUFB9"
"786","NDUFC1"
"787","NDUFS1"
"788","NDUFS2"
"789","NDUFS3"
"790","NDUFS4"
"791","NDUFS8"
"792","NDUFV1"
"793","NDUFV2"
"794","NECAB3"
"795","NNT"
"796","ODAM"
"797","OXCT1"
"798","PAFAH2"
"799","PBXIP1"
"800","PDGFD"
"801","PDHA1"
"802","PDHB"
"803","PDHX"
"804","PHLDA1"
"805","PINK1"
"806","PKM"
"807","PLEKHB2"
"808","PP7080"
"809","PPP2R3A"
"810","PPP2R5A"
"811","PRDM16-DT"
"812","PRDX2"
"813","PRDX3"
"814","PRDX5"
"815","PRKACB"
"816","PRKAR1A"
"817","PSAP"
"818","PTGER3"
"819","PXMP2"
"820","RAB11FIP2"
"821","RAB4A"
"822","RAP1GAP"
"823","RAP1GAP2"
"824","RBPMS2"
"825","REXO2"
"826","SDHB"
"827","SDHC"
"828","SGK1"
"829","SIGLEC11"
"830","SIK2"
"831","SLC16A7"
"832","SLC25A3"
"833","SLC25A4"
"834","SLC25A5"
"835","SLC2A12"
"836","SLC4A2"
"837","SLC9A3R1"
"838","SMIM11A"
"839","SOD1"
"840","STX12"
"841","SUCLG1"
"842","SUCLG2"
"843","SULT2A1"
"844","SYNJ2BP"
"845","TBCA"
"846","TCN1"
"847","TM7SF2"
"848","TMBIM6"
"849","TMEM141"
"850","TMEM171"
"851","TMEM70"
"852","TPD52L1"
"853","TPM2"
"854","TRIM50"
"855","TXNDC17"
"856","UBL3"
"857","UQCR10"
"858","UQCR11"
"859","UQCRB"
"860","UQCRC1"
"861","UQCRC2"
"862","UQCRFS1"
"863","UQCRQ"
"864","VDAC1"
"865","VDAC2"
"866","VEGFB"
"867","WBP2"
"868","WIPF3"
